"New York, NY - All Homes",,,,,,
Statistic,,,Median value per sq. ft. ($),,,
Region Name,Region Type,Type,Current,Month Over Month,Quarter Over Quarter,Year Over Year
11218,zipcode,All Homes,$767,1.1%,3.9%,9.1%
11219,zipcode,All Homes,$587,0.2%,0.9%,5.0%
11220,zipcode,All Homes,$703,0.0%,-0.3%,5.1%
11221,zipcode,All Homes,$634,1.0%,1.8%,7.8%
11222,zipcode,All Homes,"$1,133",-0.1%,-0.9%,2.0%
11223,zipcode,All Homes,$681,-0.3%,-0.7%,6.4%
11224,zipcode,All Homes,$450,0.9%,2.7%,15.7%
11225,zipcode,All Homes,$692,-0.3%,0.9%,-2.3%
11226,zipcode,All Homes,$580,-0.3%,0.3%,10.7%
11228,zipcode,All Homes,$665,0.6%,0.9%,3.6%
11229,zipcode,All Homes,$542,0.7%,2.3%,9.5%
11230,zipcode,All Homes,$661,0.3%,1.2%,5.9%
11231,zipcode,All Homes,---,---,---,---
11232,zipcode,All Homes,$790,-0.5%,-1.3%,-5.2%
11233,zipcode,All Homes,---,---,---,---
11234,zipcode,All Homes,$452,0.9%,1.8%,8.7%
11235,zipcode,All Homes,$601,0.0%,0.0%,5.3%
11236,zipcode,All Homes,$396,1.3%,3.4%,11.5%
11237,zipcode,All Homes,---,---,---,---
11238,zipcode,All Homes,"$1,056",-0.5%,-1.2%,1.9%
11249,zipcode,All Homes,"$1,220",-0.2%,-0.7%,2.0%
11354,zipcode,All Homes,$690,0.4%,0.3%,7.0%
11355,zipcode,All Homes,$690,0.1%,1.2%,8.2%
11356,zipcode,All Homes,$538,0.6%,0.7%,4.3%
11357,zipcode,All Homes,$635,0.2%,0.6%,7.8%
11358,zipcode,All Homes,$588,0.2%,0.2%,4.8%
11360,zipcode,All Homes,$642,0.5%,0.3%,5.4%
11361,zipcode,All Homes,$623,0.2%,0.0%,6.3%
11362,zipcode,All Homes,$576,-0.2%,-0.7%,1.1%
11363,zipcode,All Homes,$602,0.2%,0.0%,-0.2%
11364,zipcode,All Homes,$623,0.5%,0.3%,3.1%
11365,zipcode,All Homes,$642,0.3%,0.5%,7.4%
11366,zipcode,All Homes,$612,0.0%,0.0%,5.2%
11367,zipcode,All Homes,$599,0.5%,1.2%,8.1%
11368,zipcode,All Homes,$616,0.7%,1.1%,6.6%
11369,zipcode,All Homes,$505,0.8%,1.4%,6.5%
11370,zipcode,All Homes,$584,0.2%,0.3%,10.4%
11372,zipcode,All Homes,$584,0.3%,0.5%,11.2%
11373,zipcode,All Homes,$595,0.3%,0.5%,8.2%
11374,zipcode,All Homes,$603,0.2%,0.5%,4.9%
11375,zipcode,All Homes,$680,0.4%,0.1%,3.2%
11377,zipcode,All Homes,$578,0.3%,0.9%,5.7%
11378,zipcode,All Homes,$521,0.6%,1.2%,2.4%
11379,zipcode,All Homes,$569,0.4%,0.7%,2.9%
11385,zipcode,All Homes,$511,0.2%,0.4%,7.1%
11411,zipcode,All Homes,$372,0.8%,1.9%,2.8%
11412,zipcode,All Homes,$329,0.9%,2.5%,7.9%
11413,zipcode,All Homes,$355,0.9%,2.6%,8.2%
11414,zipcode,All Homes,$335,0.6%,1.2%,3.7%
11415,zipcode,All Homes,$523,0.6%,1.2%,17.3%
11416,zipcode,All Homes,$404,0.7%,0.5%,8.3%
11417,zipcode,All Homes,$422,0.7%,1.7%,9.9%
11418,zipcode,All Homes,$416,0.5%,1.2%,8.3%
11419,zipcode,All Homes,$384,0.5%,1.1%,6.4%
11420,zipcode,All Homes,$402,0.2%,0.0%,4.7%
11421,zipcode,All Homes,$413,0.7%,2.0%,12.2%
11422,zipcode,All Homes,$370,0.8%,1.6%,6.6%
11423,zipcode,All Homes,$403,1.0%,3.3%,10.1%
11426,zipcode,All Homes,$470,0.4%,0.4%,7.1%
11427,zipcode,All Homes,$448,0.9%,2.8%,12.3%
11428,zipcode,All Homes,$413,1.0%,2.2%,9.5%
11429,zipcode,All Homes,$341,1.2%,2.4%,8.3%
11432,zipcode,All Homes,$514,0.6%,1.6%,10.5%
11433,zipcode,All Homes,$373,1.4%,3.6%,17.3%
11434,zipcode,All Homes,$367,1.1%,3.4%,11.9%
11435,zipcode,All Homes,$417,0.5%,2.7%,15.2%
11436,zipcode,All Homes,$408,0.7%,3.8%,16.6%
11691,zipcode,All Homes,$289,1.4%,2.8%,9.9%
11692,zipcode,All Homes,$262,1.9%,4.4%,5.6%
11693,zipcode,All Homes,---,---,---,---
11694,zipcode,All Homes,$491,0.2%,1.4%,5.8%
11697,zipcode,All Homes,---,---,---,---
